"infection","EH_ID","end_rel_weight","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","Eim_MC","delta","IFNy_CEWE","IFNy_MES","CXCR3","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","CASP1_N","CXCL9_N","CXCR3_N","IDO1_N","IFNy_N","IL.6_N","IL.10_N","IL.12A_N","IL.13_N","IL.17A_N","IL1RN_N","IRGM1_N","MPO_N","MUC2_N","MUC5AC_N","MYD88_N","NCR1_N","PRF1_N","RETNLB_N","SOCS1_N","TICAM1_N","TNF_N","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","dpi_max","IFNy","CXCR3_bio","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","pc1","pc2","HI"
"challenge","LM0227",99.7904442581727,"E57","E88","E64","BUSNA_STRA","E57bxMNW",23.81,23.86,99.7904442581727,2.73,8,3,5,8,1,1,17,42500,"falciformis_ferrisi","infected",-5.79,54.4201292769137,NA,-10.535,-4.425,-9.13,22.0540301010045,13.8372505612264,NA,NA,-8.19194611447025,0.234995470837651,-7.0894069838021,0.15174334768575,-5.85412564504305,-7.2531983341549,-7.95111783610215,-8.21677953977815,NA,NA,-2.58613384421455,2.2117343013069,-9.32384188221335,2.4430196236392,1.4689386385375,-3.0197348482024,-9.49508967950745,-13.6956458817811,2.44725457215965,0.811289093769551,-5.98555643925255,-7.1733963797197,"mLN",44.9,6.385,16.205,13.52,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,21.74,15567.7655677656,7.02526117343341,"pos",93.605,0.415,NA,8,245000,4.1072925398156,"challenge","F1_hybrid","E_falciformis","E_ferrisi",8,19.6913762062694,20.9266575450285,21.0904488953813,21.7883683973286,NA,16.4233844054409,22.0291966756966,13.6022550903887,13.6855072135406,11.6255162599195,23.1610924434397,11.3942309375872,12.3683119226889,16.8569854094288,23.3323402407338,27.5328964430075,11.3899959890668,13.0259614674568,19.8228070004789,21.0106469409461,-1.17663601290913,1.52849368294577,0.5
"challenge","LM0228",110.692416391898,"E57","E88","E64","STRA_BUSNA","E57bxBGY",23.5,21.23,110.692416391898,1.13,8,13,6,11,6,1,36,90000,"falciformis_ferrisi","infected",-5.91,84.9852124920339,NA,-8.9125,-4.3925,-6.9325,NA,13.660586988559,27.3172963737582,NA,-10.5899496605369,-0.869895241543048,-7.96016120399515,1.31276360359515,-7.198881160173,-11.6654125307013,-9.26196676708155,NA,NA,-13.6567093851992,-6.4745155304524,3.6266009217436,-13.0191297314674,3.93607071437128,-0.938547677359949,-4.34985607966815,-9.23253456513885,-12.6032459358138,5.80345679158214,3.36809362637517,-4.00040064086385,-8.7022349814829,"mLN",46.145,7.005,21.365,11.565,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,27.535,79646.0176991151,4.99875306588759,"pos",92.97,0.385,NA,8,875000,0,"challenge","F1_hybrid","E_falciformis","E_ferrisi",8,20.8594681487319,21.6207481925541,25.3259995192603,22.9225537556405,NA,20.1351025190113,24.2505366490958,14.530482230102,12.3478233849638,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,-0.143952281576279,-1.2364965467878,0.5
"challenge","LM0229",99.7376705141658,"E57","E88","UNI","SCHUNT_SCHUNT","E57bxEMW",19.01,19.06,99.7376705141658,2.36,8,0,0,0,0,1,0,0,"falciformis_uninfected","uninfected",-7.12,11.9382981889895,NA,-7.4325,-3.1225,-4.6475,27.7955876695484,14.4941092225394,22.7615767953648,NA,-8.06100475827245,-4.49681836244825,-9.1712564623023,-1.4083003074807,NA,-9.68609983811255,-10.406140184723,-13.301478447009,NA,-8.2674675728254,-3.655053753918,6.68350535173905,NA,6.74481591907804,1.6228988085716,-5.5658289565592,-9.4707549336805,NA,5.30975448280529,5.28910145553176,-4.62324759351755,-8.3180228563988,"mLN",56.22,7.15,12.455,9.505,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,41.36,0,1.65664455658793,"neg",92.845,0.575,NA,8,0,3.5676810073452,"challenge","M.m.domesticus","E_falciformis","uninfected",8,NA,23.6653656848417,24.180209060652,24.9002494072624,NA,18.1491629764574,22.5551139808118,18.9909275849876,15.9024095300201,7.81060387080035,NA,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,NA,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,1.62867138603257,-1.50971172454456,0
"challenge","LM0231",98.7433542774287,"E57","E88","E64","PWD_SCHUNT","E57bxCEK",20.43,20.69,98.7433542774287,2.81,8,13,15,16,16,1,60,150000,"falciformis_ferrisi","infected",-5.16,37.5056012557841,NA,-9.3825,-4.3125,-6.8575,24.9166729862101,10.9071136772582,23.5927714855823,NA,-16.5962968032046,-3.1321723035418,-9.30600627686385,-1.8762234190238,-10.2865658167577,-13.0007007916046,-11.4031804782615,-14.0095593089519,NA,-12.6856578083241,-5.8866548087041,0.74951152285875,-16.7691693911825,3.72384194572975,-3.1343826750611,-4.71183437231025,-12.5469333291328,-12.3335093929333,6.9869217373608,0.214546139304584,-4.5545536284618,-8.0531308401047,"mLN",40.59,6.45,23.76,12.78,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,38.165,53380.7829181495,0.887669072138454,"pos",93.505,0.85,NA,8,1257500,1.25664572257131,"challenge","F1_hybrid","E_falciformis","E_ferrisi",8,21.1936794940158,20.213119954122,23.9078144688627,22.3102941555196,NA,16.7937684859623,27.5034104804628,14.0392859808,12.783337096282,10.1576021543994,27.6762830684407,7.18327173152845,14.0414963523193,15.6189480495685,23.454047006391,23.2406230701915,3.9201919398974,10.6925675379536,15.46166730572,18.9602445173629,-1.82341249473083,-1.79337465581792,0.5
"challenge","LM0232",102.313234736443,"E57","E88","UNI","BUSNA_STRA","E57bxCUY",26.98,26.37,102.313234736443,2.15,8,0,0,0,0,1,0,0,"falciformis_uninfected","infected",-6.22,21.8877741271661,NA,-10.55,-3.01,-5.435,21.283178829474,13.6344535336585,27.6643462053201,NA,-11.8217892109534,-5.57096399134,-9.39383829630335,-4.6198141605138,NA,-9.56126044370455,-14.0387403072248,-7.6487252958156,NA,-14.0298926716616,-5.35086245625775,4.39290976295437,NA,3.76486361875241,-0.737066839019398,-3.90400175079895,-10.4926860715515,-13.4556985898211,4.92332054511112,3.0483359139587,-3.4006028378876,-11.1419411899506,"mLN",52.245,8.695,13.465,14.4,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,19.39,0,1.77673412685823,"pos",91.305,0.25,NA,8,0,0,"challenge","F1_hybrid","E_falciformis","uninfected",8,NA,23.0282918299618,23.195713977363,27.6731938408833,NA,18.9853159899162,25.4562427446118,19.2054175249985,18.2542676941722,9.24154377070408,NA,9.86958991490604,14.3715203726778,17.5384552844574,24.12713960521,27.0901521234795,8.71113298854733,10.5861176196997,17.035056371546,24.7763947236091,2.22252177385659,-1.0563877715571,0.5
"challenge","LM0233",100.638226402419,"E57","E88","UNI","STRA_STRA","E57bxSTU",29.96,29.77,100.638226402419,1.75,8,0,0,0,0,1,0,0,"falciformis_uninfected","infected",-5.97,81.662990584743,NA,-11.1725,NA,-6.1225,24.6130038932218,14.4037280578944,28.888649522421,NA,-8.73724512815885,-4.6744451644454,-8.78200953714845,-4.08515221687125,-8.8482438011672,-8.1919885931976,-11.4217031068886,-10.2092758353274,NA,-14.4849214645266,-5.0545218171618,5.2063541875095,-10.542394025835,6.17780646365352,2.8201946219405,-5.650160863265,-11.0300430056403,-13.4392798810946,-1.3999483158473,4.36669703935827,-4.52541721501375,-10.6153583372172,"mLN",46.895,6.89,13.355,7.035,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,19.23,0,4.86923097297706,"neg",93.11,0.27,NA,8,0,0.0671817265703964,"challenge","M.m.domesticus","E_falciformis","uninfected",8,23.2519718590616,23.1857375950429,22.595716651092,25.825431164783,NA,19.4582498750562,23.1409731860533,19.0781732223398,18.4888802747656,9.1973738703849,24.9461220837294,8.22592159424088,11.5835334359539,20.0538889211594,25.4337710635347,27.843007938989,15.8036763737417,10.0370310185361,18.9291452729082,25.0190863951116,2.78533990157811,-0.484776833215673,0
"challenge","LM0234",99.6336996336996,"E57","E88","E64","STRA_STRA","E57bxBLW",32.64,32.76,99.6336996336996,1.63,8,4,10,7,6,1,27,67500,"falciformis_ferrisi","infected",-7.89,112.055644071278,NA,-17.0075,-1.0425,-4.8275,22.2915427746276,14.5446123596065,NA,NA,-8.5666611835483,-0.1331223522872,-5.65171133220895,0.11368090690935,-6.09905753757465,-9.3698833956713,-7.084532837919,-7.74693041502105,NA,NA,-4.0112110206009,5.94367019055982,-10.3631351736806,5.81392229824578,2.6441205164481,-3.6326440948213,-8.71020489656075,-8.99886313813235,2.6136613800278,4.40733046449221,-3.34564817153735,-5.86224932590455,"mLN",49.47,6.065,24.795,13.95,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,34.31,41411.0429447853,5.98219397547729,"pos",93.935,0.295,NA,8,1057500,2.1062271062271,"challenge","M.m.domesticus","E_falciformis","E_ferrisi",8,20.6436698971811,20.1963236918155,23.9144957552778,21.6291451975255,NA,18.5558233802074,23.1112735431548,14.6777347118937,14.4309314526972,8.60094216904668,24.9077475332871,8.73069006136072,11.9004918431584,18.1772564544278,23.2548172561673,23.5434754977389,11.9309509795787,10.1372818951143,17.8902605311439,20.406861685511,-0.718122451634548,-1.36577481030431,0
"challenge","LM0235",99.6424923391216,"E57","E88","E64","STRA_SCHUNT","E57bxDTU",19.51,19.58,99.6424923391216,0.95,8,1,0,1,0,1,2,5000,"falciformis_ferrisi","infected",-5.84,53.5403908319353,NA,-8.6925,-3.0275,-5.5975,23.8706904773282,14.1094199540657,26.9021283600333,NA,-10.9541530165914,-0.110041669769251,-9.62163335702945,-1.55687116159815,-8.19117101201745,-7.0340376625291,-9.5008353165273,-9.76127052326245,NA,-12.7927084059676,-3.5672421732194,5.8122851930137,-11.5095439709888,6.58700566229892,0.961213408426151,-4.92876022070515,-9.58731051628815,-13.89493818404,3.31430366685765,3.92195567639779,-3.8769178340497,-7.8056795280408,"mLN",45.74,6.52,17.115,8.645,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,28.69,5263.15789473684,2.12034089731856,"pos",93.46,0.28,NA,8,377500,2.29826353421861,"challenge","M.m.domesticus","E_falciformis","E_ferrisi",8,22.3005909660831,23.7310533110951,21.1434576165948,23.610255270593,NA,17.6766621272851,25.0635729706571,14.219461623835,15.6662911156638,8.297134761052,25.6189639250545,7.52241429176678,13.1482065456395,19.0381801747709,23.6967304703538,28.0043581381057,10.795116287208,10.1874642776679,17.9863377881154,21.9150994821065,0.778811953911581,-1.49291526654082,0
"challenge","LM0236",103.047619047619,"E57","E88","E64","STRA_STRA","E57bxFRU",27.05,26.25,103.047619047619,2.33,8,8,4,11,8,1,31,77500,"falciformis_ferrisi","infected",-6.02,121.105391312534,NA,-10.2025,-2.0425,-5.0925,24.3751229157779,16.4419766101856,29.393211548114,NA,-6.008137969412,0.238891529106798,-6.7426409861087,1.48963439815525,NA,-5.57937791911045,NA,-7.9331463055923,NA,-12.9512349379284,-2.87455287420945,7.44461677086629,-12.7693486194284,8.28531565279707,7.75698454047301,-3.9507787876641,-7.3691419556365,NA,4.6785299960046,6.60872524462858,-3.60491083351905,-9.55636708288995,"mLN",46.33,6.465,21,14.54,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,46.265,33261.8025751073,0.939915392134487,"pos",93.535,0.61,NA,8,792500,11.047619047619,"challenge","M.m.domesticus","E_falciformis","E_ferrisi",8,NA,23.1846175962943,22.0213545292961,NA,NA,19.316529484395,22.4501145795976,16.2030850810788,14.9523422120304,8.99735983931931,29.211325229614,8.15666095738853,8.68499206971259,20.3927553978497,23.8111185658221,NA,11.763446614181,9.83325136555701,20.0468874437046,25.9983436930755,1.78991986914853,-1.12594641873151,0
"challenge","LM0238",95.4184198223469,"E57","E88","E64","PWD_BUSNA","E57bxLYZ",20.41,21.39,95.4184198223469,1.38,8,22,23,22,20,1,87,217500,"falciformis_ferrisi","infected",-4.42,61.4115394386923,NA,-10.3425,-4.3375,-6.3925,22.4657442876761,9.4143498510904,23.5008702072269,NA,-14.139722681222,-3.47393761903265,-9.80263089668245,-2.24920138005045,-11.2966621968328,-10.2108363396325,-13.5342590099589,-13.0513944365857,NA,-14.0865203561365,-7.87591925426955,0.362190225676919,-18.0501558768902,0.771778683019129,-0.928364500961271,-5.20434116755065,-11.9853307054881,-11.0370590671708,5.3347456544413,-1.8278200814675,-5.7121543291067,-8.8039630120739,"mLN",43.325,8.915,13.09,6.825,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,27.8,157608.695652174,3.47981538698723,"pos",91.075,0.335,NA,8,437500,6.0776063581113,"challenge","M.m.musculus","E_falciformis","E_ferrisi",8,20.7110120479232,19.2169807477729,19.6251861907229,22.9486088610493,NA,17.29026910536,23.5540725323124,12.888287470123,11.6635512311409,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,-3.27491114245585,-1.77968599597824,1
