"Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Aspiculuris","Syphacia","Taenia_taeniformis","Zfy2","Y","Hymenolepis_microstoma","Cysticercus","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Mastophorus","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Trap_Date","Ectoparasites","Hymenolepis_diminuta","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","GAPDH","IL.12A","PPIB","IL.17A","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position","delta","EXP_type","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","COCE","CEWE","ILWE","CECE","COWE","SICE","Ticks","Host","FEC","SPL2","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","Body_Weight","Body_Length","Tail_Length","Aspiculuris_sp","Syphacia_sp","Trichuris_muris","Taenia_sp","Heterakis_sp","Mastophorus_muris","Hymenolepis_sp","Catenotaenia_pusilla","IFNy","CXCR3","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"AA_0053","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm",12,0.608695652,"2016-09-24",NA,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,TRUE,NA,NA,NA,0,1,338,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,3.92567749942915,19.5582469630543,16.6024802427078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,34.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.184,85,78,338,0,0,1,12,0,0,0,17.7704089496093,20.4573988135313,17.4754827353681,19.9771005537668,17.2988838525735,10.8133050743151,22.3962003830813,15.5097332574826,12.3409980886296,9.47877133473768,15.769588891091,8.14946865018169,8.08599731399743,13.4310333534766,25.5466741063785,21.9019293302739,10.0210975857333,10.5197224364555,19.65093796469,18.0636006857446
"AA_0061","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-24",17,0,15,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",NA,8,2.5,NA,NA,NA,NA,NA,0.044,0.047,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,4.5500995252626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.937,72,80,0,15,0,0,0,0,0,0,21.0126832482196,29.0460644466522,25.7853676441147,27.7445978212112,13.8279449996314,21.6176809128899,29.934069518899,24.552410576762,27.240859513104,9.90374428529745,28.9932850181643,8.66876465542623,20.5535263233958,19.2654416049661,28.2861457175401,22.1950424732082,13.2033612401915,10.3509720693764,19.1887494151625,28.670345864381
"AA_0065","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-25",37,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,"dom",NA,6,2.5,NA,NA,NA,NA,8,0.021,0.024,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,4.50656058684483,NA,23.8015916522179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,75,81,0,0,0,0,0,0,0,0,24.6695029230669,27.91444686101,26.360207761706,28.4342996941865,28.7962402448963,23.0472022426504,24.1899451054068,24.3612929144279,28.3400534541985,10.4052934333715,26.2915898616877,22.307365367559,21.4596242920353,17.1550245913359,26.2798329846151,27.1887954636979,23.1497305835788,10.5026258347716,28.001134540637,27.8073788114574
"AA_0067","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",14,0.1,"2016-09-25",26,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,1,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"dom",NA,31,2.5,NA,NA,NA,NA,153,0.094,0.094,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,3.12156720530363,22.6831265383517,18.6305728470997,22.7455274734848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.73,79,86,1,0,0,0,0,0,0,0,21.696051939686,19.6268093668883,24.8687978199118,25.6026392082613,20.4359774331111,14.5758460516447,19.7311175872092,20.262810052435,16.4029984170172,8.63524339135926,15.467280436278,7.18334942531766,7.32077276219427,8.06663573917176,26.2564065152664,26.5473247008031,9.33236272840009,9.64856157154242,24.1616958166265,19.4651209880687
"AA_0078","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",45,0,26,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,4.29764885524109,18.5255261001411,12.767780825888,21.4391008151291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7138,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.418,74,73,0,26,0,0,0,0,0,0,20.3981574181814,19.7290466915133,23.5783138709507,20.991042416573,14.9186311906023,11.1918085656886,20.0151895607441,18.0892030512322,12.3593882389707,9.91862295293787,16.1778110679176,8.39856292704786,8.48178881348591,9.21271075584795,29.1670947600233,26.7796594665942,9.56957329872745,11.0892071173239,15.7756343917794,18.4475229376812
"AA_0079","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,"2016-09-25",71,0,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",NA,24,2.5,NA,NA,NA,NA,155,0.074,0.078,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,16.7569449341067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.533,75,83,0,3,0,0,0,0,0,0,21.9521394086271,28.2008294547146,26.9792854141018,29.1773837056037,25.3670937681475,22.3492303388357,27.5627218183768,26.084634965436,18.3967213798789,22.6076624967495,23.0995522130717,22.4660968646779,22.9019952495303,23.2327162478718,29.1043440614028,25.7306613448908,22.3587332003286,24.8167985466961,25.564114678467,24.0185741774387
"AA_0082","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",33,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"DyM",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,3.91407628870872,17.8168923436496,13.2101401185063,22.780482863219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.015,72,81,0,1,0,0,0,0,0,0,17.0224658310885,19.6832978911429,19.8984606596123,20.4116800735579,16.6652600816645,10.2690258267163,21.8010692429249,13.6719984221085,11.172960079003,9.24974613620432,15.7939412149953,7.91140028466805,7.93856445246577,8.70271966130555,25.6769050368161,21.4497333594284,8.3586252179281,10.2176195236856,18.398109067993,20.1370527388514
"AA_0086","M",13.676085,52.497666,2016,"d","m",NA,"d",NA,"d","d","d","94","100","100","100","100","80","dd","dd","dd","dd","dd","mm",11,0.117647059,"2016-09-26",14,0,10,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",NA,36,2.5,NA,NA,NA,NA,108,0.063,0.065,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,5.81048918431102,19.7953502246901,NA,22.5114699957713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.173,75,93,0,10,0,0,0,0,0,0,18.7013700259549,20.4863664648133,21.6551342205303,20.991042416573,10.7764993238065,11.2590222862608,21.4614533011144,19.7049305737292,12.3248319547543,11.4801427954634,18.2289251740952,9.69603036484969,9.88893330712969,16.1395612411592,22.6379170747493,23.1751051422391,14.4017329887494,12.641449893668,16.9489248336579,20.6681081943793
"AA_0090","M",13.7072,52.2422,2016,"d","m",NA,NA,NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",8,0,"2016-09-26",15,0,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",NA,16,2,NA,NA,NA,NA,56,0.049,0.051,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,5.24010438280007,22.5912137254487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.176,75,76,0,3,0,0,0,0,0,0,27.2755234712536,21.9288324119777,23.6407479333688,25.9246053566549,10.3953305547871,19.2799129926911,21.0662741174643,23.4350859345278,25.0565733330061,11.0968936325154,26.2841286827586,9.62227431478285,9.7425872931114,20.5689366230772,27.8316473883903,27.8000522006151,11.3118231107662,12.3912702598826,23.2399436741513,24.9679158516033
"AA_0093","M",13.3047,52.9936,2016,NA,"m","d",NA,NA,NA,"d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",10,0.0625,"2016-09-26",26,0,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",NA,28,1,TRUE,NA,NA,NA,166,0.08,0.083,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,4.62477670396179,19.7457437506203,NA,28.9714311090167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.258,81,85,0,3,0,0,0,0,0,0,24.1134782188647,20.2841531299617,22.2467867640112,23.583727657629,9.4507552805061,10.2198732642011,21.9295477368254,19.8071782074125,11.6347172363509,10.1039718004436,16.2833286665552,8.63847935552115,8.62877281936883,17.4218422768781,26.011705196929,23.1291982442425,9.65682731218275,11.0714196189538,17.8979846403591,21.4180258468577
